year,run,addiction_rate,mean_debt,pct_over_50
1998,15,0.339,123.56022514785485,0.021
1999,15,0.398,183.73628361596937,0.045
2000,15,0.454,256.1109462915693,0.066
2001,15,0.509,351.6521521555807,0.105
2002,15,0.555,449.2652653106112,0.151
2003,15,0.586,575.7557918201469,0.198
2004,15,0.617,707.7360466753829,0.244
2005,15,0.649,847.6092346442712,0.3
2006,15,0.689,1018.5170925392499,0.351
2007,15,0.716,1194.71484942385,0.406
2008,15,0.743,1399.8045670814715,0.447
2009,15,0.77,1622.4191168994,0.489
2010,15,0.791,1855.8431807101144,0.53
2011,15,0.812,2106.6594108788413,0.567
2012,15,0.821,2380.4841208302546,0.594
2013,15,0.835,2654.7817233336837,0.627
2014,15,0.852,2945.463139206739,0.656
2015,15,0.859,3247.6870510681847,0.68
2016,15,0.87,3560.1923133191226,0.707
2017,15,0.882,3891.7668392530586,0.731
2018,15,0.895,4238.32927388167,0.749
2019,15,0.902,4580.886161712007,0.767
2020,15,0.91,4946.5313658308605,0.779
2021,15,0.919,5310.2261648509875,0.784
2022,15,0.926,5684.048959210366,0.794
2023,15,0.937,6051.609682676404,0.806
2024,15,0.944,6439.920017862687,0.822
2025,15,0.948,6816.964003500564,0.83
1995,16,0.097,11.679566018185996,0.0
1996,16,0.185,31.162599171437208,0.004
1997,16,0.265,61.299294998418844,0.007
1998,16,0.328,113.60733244233886,0.018
1999,16,0.382,179.42774008785526,0.037
2000,16,0.436,252.53827802609973,0.075
2001,16,0.486,338.2590600050456,0.104
2002,16,0.524,434.34265190251193,0.148
2003,16,0.563,555.3849279513445,0.194
2004,16,0.601,681.9869259667358,0.24
2005,16,0.638,827.2242637330984,0.29
2006,16,0.664,986.6520743397434,0.341
2007,16,0.69,1159.8739916231393,0.368
2008,16,0.711,1359.3248246404235,0.432
2009,16,0.735,1574.1893191408492,0.471
2010,16,0.762,1800.937644399239,0.512
2011,16,0.777,2037.741574020196,0.559
2012,16,0.795,2297.411403954856,0.582
2013,16,0.821,2574.1180031107333,0.611
2014,16,0.837,2863.617212567176,0.639
2015,16,0.862,3178.4756077280986,0.664
2016,16,0.876,3495.5053890453214,0.681
2017,16,0.888,3831.2583683438393,0.698
2018,16,0.896,4168.7861958052545,0.727
2019,16,0.91,4529.904906740394,0.742
2020,16,0.919,4894.567645162314,0.77
2021,16,0.928,5270.764835700203,0.786
2022,16,0.934,5651.309377031415,0.796
2023,16,0.939,6029.8165054890305,0.802
2024,16,0.945,6417.904402897176,0.812
2025,16,0.953,6807.722658922663,0.827
1995,17,0.105,15.880373939827951,0.0
1996,17,0.184,43.38126693311476,0.004
1997,17,0.264,75.87716575519347,0.014
1998,17,0.333,127.5910478942378,0.023
1999,17,0.4,194.2523874026495,0.05
2000,17,0.46,268.1796609659648,0.081
2001,17,0.51,356.92854283810453,0.111
2002,17,0.554,461.63527649892757,0.147
2003,17,0.601,581.5294077912304,0.196
2004,17,0.643,709.0828992198739,0.244
2005,17,0.675,865.487530586248,0.3
2006,17,0.706,1039.501092232637,0.342
2007,17,0.731,1230.6106407492057,0.393
2008,17,0.756,1436.2848233984864,0.437
2009,17,0.781,1665.505424114659,0.484
2010,17,0.798,1907.5816064363798,0.527
2011,17,0.814,2157.436177361769,0.569
2012,17,0.835,2440.8375588420386,0.618
2013,17,0.854,2736.7619886743964,0.656
2014,17,0.87,3056.2513445486966,0.674
2015,17,0.884,3383.5204179071447,0.702
2016,17,0.893,3721.8834304201782,0.728
2017,17,0.898,4081.7221090887506,0.752
2018,17,0.909,4432.989764401144,0.772
2019,17,0.921,4791.743370789094,0.782
2020,17,0.924,5171.471116710015,0.799
2021,17,0.933,5561.600066857064,0.808
2022,17,0.937,5946.801586952819,0.817
2023,17,0.941,6341.733878622209,0.832
2024,17,0.947,6734.366070429204,0.842
2025,17,0.953,7133.807032788664,0.853
1995,18,0.116,12.835027315657296,0.0
1996,18,0.211,42.76233668745657,0.005
1997,18,0.281,76.03974724191664,0.012
1998,18,0.355,123.55909867380961,0.024
1999,18,0.41,191.60514040789545,0.051
2000,18,0.467,265.8482612390702,0.075
2001,18,0.508,359.1155889662466,0.111
2002,18,0.552,462.3068342175656,0.151
2003,18,0.585,583.7376949492362,0.2
2004,18,0.614,715.0500601476168,0.261
2005,18,0.643,867.5448837534399,0.318
2006,18,0.679,1040.9318473425742,0.378
2007,18,0.708,1232.61891688969,0.418
2008,18,0.736,1432.2484227719617,0.461
2009,18,0.756,1649.9444573002233,0.499
2010,18,0.777,1880.658576051478,0.537
2011,18,0.8,2136.6690003799713,0.573
2012,18,0.816,2400.699259773023,0.598
2013,18,0.837,2691.676008270146,0.63
2014,18,0.852,2998.4277995376365,0.655
2015,18,0.862,3314.3036681249655,0.672
2016,18,0.88,3639.046048446466,0.692
2017,18,0.888,3987.842500821313,0.718
2018,18,0.901,4342.373731857262,0.748
2019,18,0.915,4702.608321830726,0.765
2020,18,0.923,5069.835234858134,0.778
2021,18,0.933,5452.669535524081,0.788
2022,18,0.938,5852.7299393673375,0.804
2023,18,0.948,6248.993935323812,0.812
2024,18,0.957,6644.992922503653,0.822
2025,18,0.961,7044.47535604058,0.837
1995,19,0.116,12.39583469659443,0.0
1996,19,0.216,36.59824343227511,0.002
1997,19,0.275,74.76210755598552,0.008
1998,19,0.322,124.60604962603361,0.021
1999,19,0.392,188.3032776687183,0.042
2000,19,0.449,258.53503383257043,0.074
2001,19,0.501,343.18615360396865,0.115
2002,19,0.536,446.6749989783752,0.155
2003,19,0.575,554.9745530912148,0.201
2004,19,0.607,689.0621752571548,0.242
2005,19,0.639,834.8563164745955,0.281
2006,19,0.671,995.1555382219765,0.339
2007,19,0.695,1182.9979597585689,0.383
2008,19,0.72,1376.7265914951338,0.425
2009,19,0.743,1589.5117320261168,0.467
2010,19,0.763,1817.92426637587,0.507
2011,19,0.782,2067.1016138285136,0.542
2012,19,0.792,2329.02026721433,0.581
2013,19,0.81,2600.7113444390598,0.612
2014,19,0.83,2891.8488739004288,0.649
2015,19,0.843,3194.6977533185045,0.671
2016,19,0.851,3502.1055785715635,0.696
2017,19,0.864,3832.323356715079,0.712
2018,19,0.875,4172.334180805352,0.726
2019,19,0.884,4515.732021477968,0.742
2020,19,0.897,4880.033623744196,0.764
2021,19,0.912,5258.870350846929,0.773
2022,19,0.925,5632.072693010762,0.789
2023,19,0.93,6017.6766249415305,0.807
2024,19,0.943,6400.083712521496,0.818
2025,19,0.952,6784.1336362492075,0.83
1995,20,0.106,8.66058781850125,0.0
1996,20,0.196,34.61390268546657,0.003
1997,20,0.281,72.38658376097771,0.008
1998,20,0.34,114.81984438408367,0.014
1999,20,0.409,172.26718431740818,0.039
2000,20,0.47,246.6704134525735,0.064
2001,20,0.516,331.1506741714766,0.1
2002,20,0.559,439.20455731805123,0.154
2003,20,0.603,554.9422758843857,0.19
2004,20,0.631,685.1718715143727,0.242
2005,20,0.656,832.2240625295951,0.295
2006,20,0.685,992.010504105509,0.341
2007,20,0.704,1172.058064393899,0.4
2008,20,0.721,1369.410811780875,0.448
2009,20,0.747,1588.5732585600103,0.498
2010,20,0.762,1822.326547819547,0.534
2011,20,0.786,2070.667428679911,0.566
2012,20,0.806,2340.0698654850544,0.594
2013,20,0.819,2617.8103050375375,0.629
2014,20,0.836,2910.3832732078354,0.658
2015,20,0.849,3221.36629199637,0.674
2016,20,0.859,3537.2147625648863,0.697
2017,20,0.871,3867.4092287279746,0.72
2018,20,0.885,4214.864587040179,0.736
2019,20,0.9,4573.018094083305,0.757
2020,20,0.916,4940.526917802243,0.776
2021,20,0.925,5315.9246642106245,0.789
2022,20,0.931,5697.60371981091,0.803
2023,20,0.94,6077.599931830618,0.81
2024,20,0.95,6468.267531776637,0.818
2025,20,0.957,6857.67604222556,0.829
1995,21,0.125,13.731982382166658,0.0
1996,21,0.192,34.65272132970692,0.002
1997,21,0.272,75.17385267943402,0.008
1998,21,0.342,128.27222308340617,0.021
1999,21,0.396,185.72332400988165,0.047
2000,21,0.452,258.4840173916607,0.071
2001,21,0.488,337.86883637825554,0.111
2002,21,0.53,440.4216890411363,0.16
2003,21,0.57,567.7083511118918,0.203
2004,21,0.606,701.447416794315,0.247
2005,21,0.63,848.4593970280825,0.295
2006,21,0.656,1025.6825022780952,0.347
2007,21,0.689,1204.2661728335033,0.389
2008,21,0.711,1403.1931020405727,0.433
2009,21,0.731,1617.2610166114612,0.478
2010,21,0.756,1846.3621629654258,0.508
2011,21,0.776,2100.766911175875,0.549
2012,21,0.797,2366.991372974066,0.581
2013,21,0.814,2645.6927387847472,0.619
2014,21,0.83,2931.213126434184,0.64
2015,21,0.85,3229.094171458753,0.659
2016,21,0.859,3553.864089289835,0.687
2017,21,0.87,3889.987817259764,0.707
2018,21,0.877,4233.92151172984,0.727
2019,21,0.891,4597.08295785525,0.744
2020,21,0.903,4965.9135206028795,0.764
2021,21,0.914,5354.630490672605,0.778
2022,21,0.925,5733.202084283682,0.798
2023,21,0.931,6116.275151956258,0.81
2024,21,0.94,6512.796216335487,0.819
2025,21,0.947,6906.122881074239,0.827
1995,22,0.103,9.555990386760506,0.0
1996,22,0.195,36.53174348826232,0.003
1997,22,0.268,68.93689638023454,0.007
1998,22,0.327,114.74952338569737,0.016
1999,22,0.401,173.3095820242701,0.037
2000,22,0.444,247.3601012903201,0.066
2001,22,0.499,329.10108579665257,0.104
2002,22,0.539,433.9543283546678,0.141
2003,22,0.575,545.2754394070389,0.176
2004,22,0.606,680.7942767685677,0.229
2005,22,0.644,821.8389436073962,0.28
2006,22,0.666,974.7559930925684,0.331
2007,22,0.688,1140.0625919787994,0.368
2008,22,0.721,1333.9219118557703,0.413
2009,22,0.745,1550.2195528950467,0.457
2010,22,0.761,1767.4871656129897,0.491
2011,22,0.787,1998.4783917827576,0.532
2012,22,0.803,2244.988841696634,0.57
2013,22,0.818,2522.770661264429,0.605
2014,22,0.836,2803.203215722629,0.631
2015,22,0.849,3106.206213315649,0.664
2016,22,0.86,3415.2280501706273,0.682
2017,22,0.876,3747.6415372643964,0.709
2018,22,0.886,4081.5909340316866,0.721
2019,22,0.905,4434.664903528951,0.743
2020,22,0.915,4789.633400110157,0.764
2021,22,0.926,5157.7453725268415,0.777
2022,22,0.937,5528.5727526928,0.798
2023,22,0.943,5900.420382704003,0.815
2024,22,0.947,6266.301116521532,0.82
2025,22,0.952,6640.346465125449,0.835
1995,23,0.107,17.621597425701896,0.0
1996,23,0.196,46.18941008913526,0.006
1997,23,0.267,80.11425551774714,0.014
1998,23,0.325,130.4347840079773,0.027
1999,23,0.386,186.43298291328327,0.036
2000,23,0.438,254.38522221944493,0.07
2001,23,0.497,343.92642760524024,0.106
2002,23,0.544,444.9355091240843,0.142
2003,23,0.588,562.9101620912766,0.189
2004,23,0.622,698.2571007813702,0.238
2005,23,0.644,843.554069572561,0.29
2006,23,0.675,996.4072256344951,0.334
2007,23,0.703,1173.4504378617382,0.387
2008,23,0.727,1368.9967822073306,0.426
2009,23,0.751,1571.3139534415864,0.462
2010,23,0.767,1787.7093343089916,0.507
2011,23,0.786,2030.5984637416825,0.539
2012,23,0.808,2293.6669286451806,0.582
2013,23,0.833,2571.7886148815833,0.612
2014,23,0.851,2867.7145756932487,0.64
2015,23,0.869,3165.223881622069,0.655
2016,23,0.875,3473.355838583858,0.686
2017,23,0.893,3807.472271695024,0.718
2018,23,0.906,4151.294809535685,0.739
2019,23,0.914,4493.449175689079,0.767
2020,23,0.921,4858.53574086779,0.781
2021,23,0.929,5222.82421649657,0.799
2022,23,0.938,5604.670023723201,0.816
2023,23,0.944,5980.314310278481,0.829
2024,23,0.952,6362.185141820627,0.839
2025,23,0.959,6746.038195059782,0.851
1995,24,0.109,15.082712835663559,0.0
1996,24,0.196,36.87531538689777,0.003
1997,24,0.273,71.18709226271413,0.012
1998,24,0.326,121.72663410193667,0.022
1999,24,0.382,184.26978274158586,0.049
2000,24,0.432,259.9380361403966,0.08
2001,24,0.481,350.70361441230216,0.115
2002,24,0.526,451.71716074587704,0.156
2003,24,0.559,572.084831381401,0.202
2004,24,0.592,698.5519651095834,0.246
2005,24,0.63,840.9109159522475,0.282
2006,24,0.663,1002.9293017441322,0.333
2007,24,0.696,1189.8779505374864,0.376
2008,24,0.732,1381.5047676356053,0.412
2009,24,0.759,1585.8617968730216,0.446
2010,24,0.781,1818.5578885917162,0.493
2011,24,0.806,2077.3114827730487,0.537
2012,24,0.827,2344.527558201458,0.578
2013,24,0.841,2614.995556919639,0.605
2014,24,0.851,2920.784123338376,0.64
2015,24,0.866,3228.170687004536,0.671
2016,24,0.877,3550.3770515961833,0.695
2017,24,0.89,3900.927546789796,0.718
2018,24,0.903,4260.167790452991,0.736
2019,24,0.916,4622.522581239119,0.766
2020,24,0.927,4997.572969214423,0.781
2021,24,0.938,5375.335719816453,0.805
2022,24,0.943,5766.712975838036,0.819
2023,24,0.948,6174.070571897015,0.835
2024,24,0.951,6566.671610950756,0.84
2025,24,0.956,6968.974328521093,0.851
1995,25,0.11,10.593590932661023,0.0
1996,25,0.183,34.06983877389333,0.001
1997,25,0.264,64.68561946532449,0.011
1998,25,0.337,109.35121010624866,0.021
1999,25,0.395,168.47516929214063,0.043
2000,25,0.436,240.64239398849926,0.066
2001,25,0.484,322.8307203448552,0.097
2002,25,0.536,413.435388526866,0.135
2003,25,0.575,523.025952694234,0.171
2004,25,0.622,655.9917087793895,0.227
2005,25,0.651,798.1031094265518,0.264
2006,25,0.676,950.5127881209324,0.319
2007,25,0.699,1123.7630358176802,0.368
2008,25,0.721,1310.9101794516332,0.425
2009,25,0.743,1520.2008450235114,0.467
2010,25,0.772,1747.4740249625766,0.509
2011,25,0.788,1981.1688740023458,0.548
2012,25,0.81,2238.9039780727244,0.581
2013,25,0.832,2503.70832721115,0.609
2014,25,0.844,2790.359800920475,0.639
2015,25,0.857,3086.5811748199976,0.668
2016,25,0.867,3403.7076337820895,0.685
2017,25,0.88,3739.8149476531808,0.711
2018,25,0.889,4077.8771829171405,0.725
2019,25,0.9,4427.2148268954825,0.746
2020,25,0.908,4788.17264824532,0.753
2021,25,0.919,5153.143272564835,0.772
2022,25,0.93,5523.073102240649,0.787
2023,25,0.938,5892.595652709669,0.8
2024,25,0.947,6266.939562073495,0.815
2025,25,0.952,6647.834545430314,0.827
1995,26,0.121,14.42603416363964,0.0
1996,26,0.211,37.172990211452166,0.002
1997,26,0.278,73.01577282106501,0.012
1998,26,0.336,118.60966088986144,0.027
1999,26,0.388,184.80631841827014,0.043
2000,26,0.443,262.1944973177122,0.071
2001,26,0.494,350.5679181545083,0.111
2002,26,0.539,452.3706542015307,0.145
2003,26,0.583,568.8746970077292,0.19
2004,26,0.617,697.6639033531443,0.226
2005,26,0.655,846.9846130723029,0.287
2006,26,0.69,1015.3636384317631,0.328
2007,26,0.716,1197.1682018408337,0.381
2008,26,0.737,1392.8756791373864,0.447
2009,26,0.752,1607.7325997383384,0.483
2010,26,0.773,1829.0583794219883,0.526
2011,26,0.794,2073.307926491397,0.56
2012,26,0.808,2337.97088070492,0.583
2013,26,0.828,2618.0961822753848,0.616
2014,26,0.841,2914.4269555766396,0.639
2015,26,0.854,3224.801406352802,0.669
2016,26,0.865,3566.09120951597,0.691
2017,26,0.877,3899.0987373451453,0.712
2018,26,0.89,4249.011482153909,0.727
2019,26,0.903,4597.865116110717,0.748
2020,26,0.918,4970.486598495376,0.767
2021,26,0.926,5351.214824132509,0.776
2022,26,0.934,5724.141607472407,0.79
2023,26,0.939,6099.032217960801,0.804
2024,26,0.946,6476.791920833362,0.815
2025,26,0.955,6852.8896106334905,0.827
1995,27,0.095,12.601442306412903,0.0
1996,27,0.187,32.788868434001955,0.002
1997,27,0.265,68.37737877976673,0.01
1998,27,0.32,118.08258816224097,0.022
1999,27,0.381,172.69215280663002,0.041
2000,27,0.437,246.55653194098923,0.073
2001,27,0.482,332.7458365508156,0.114
2002,27,0.517,435.42902282742807,0.147
2003,27,0.566,550.3986405855273,0.185
2004,27,0.601,678.1724991525234,0.236
2005,27,0.628,818.9498640045698,0.274
2006,27,0.655,981.4005610998761,0.317
2007,27,0.685,1159.553386668481,0.378
2008,27,0.706,1348.397762658053,0.424
2009,27,0.729,1556.7559433308584,0.47
2010,27,0.749,1790.0228366504168,0.508
2011,27,0.77,2028.670893918618,0.538
2012,27,0.794,2290.075898784429,0.57
2013,27,0.816,2560.144799472887,0.599
2014,27,0.838,2844.5535747718686,0.627
2015,27,0.85,3139.545627547132,0.654
2016,27,0.862,3456.4765479678217,0.68
2017,27,0.879,3793.0143112305805,0.692
2018,27,0.887,4136.54310061982,0.724
2019,27,0.896,4482.619291388859,0.734
2020,27,0.906,4841.016823548315,0.751
2021,27,0.911,5207.558332654359,0.768
2022,27,0.917,5582.266749667117,0.781
2023,27,0.925,5958.720600224526,0.796
2024,27,0.934,6343.503908006666,0.811
2025,27,0.943,6717.992163214411,0.819
1995,28,0.109,9.664698272116159,0.0
1996,28,0.21,34.05042219055115,0.0
1997,28,0.299,73.2248526509556,0.005
1998,28,0.36,128.78484866591162,0.023
1999,28,0.415,190.03495688328073,0.049
2000,28,0.471,267.7781852658017,0.073
2001,28,0.51,359.87118538986704,0.111
2002,28,0.559,458.84910118423426,0.147
2003,28,0.603,580.6256306421476,0.198
2004,28,0.637,719.7307378575557,0.246
2005,28,0.67,875.2412598543614,0.308
2006,28,0.699,1049.983194987996,0.364
2007,28,0.731,1243.7466331896117,0.409
2008,28,0.747,1440.7263097591556,0.45
2009,28,0.768,1650.5760328874815,0.494
2010,28,0.783,1886.2982911961215,0.529
2011,28,0.797,2126.140996981755,0.576
2012,28,0.818,2406.733609554668,0.6
2013,28,0.83,2703.2922810265723,0.639
2014,28,0.84,3005.020794585486,0.656
2015,28,0.851,3313.4123302497787,0.675
2016,28,0.869,3645.5655336150435,0.702
2017,28,0.883,3993.8071926099265,0.721
2018,28,0.896,4340.904477312712,0.741
2019,28,0.909,4689.1999422409435,0.756
2020,28,0.914,5062.594774574911,0.764
2021,28,0.924,5449.288547051463,0.779
2022,28,0.933,5819.781821856087,0.797
2023,28,0.94,6207.220903397463,0.803
2024,28,0.946,6591.457657477216,0.819
2025,28,0.947,6992.081636698242,0.83
1995,29,0.105,11.273610915775278,0.0
1996,29,0.197,36.65437489787753,0.001
1997,29,0.273,68.73485839580107,0.009
1998,29,0.341,118.75262355740486,0.019
1999,29,0.404,180.57529925913136,0.042
2000,29,0.452,260.5763361417365,0.072
2001,29,0.493,350.67201001292665,0.115
2002,29,0.539,457.2135865591398,0.158
2003,29,0.575,576.2962390103656,0.205
2004,29,0.611,704.3331470027636,0.242
2005,29,0.648,851.9971899404426,0.3
2006,29,0.688,1014.0155637328472,0.335
2007,29,0.711,1206.8531091270186,0.384
2008,29,0.738,1401.0595219919478,0.413
2009,29,0.758,1616.1878340682429,0.466
2010,29,0.771,1849.9157960418966,0.511
2011,29,0.797,2099.3145964737796,0.548
2012,29,0.815,2366.228443565444,0.581
2013,29,0.836,2640.558629786696,0.613
2014,29,0.855,2941.018067789329,0.644
2015,29,0.868,3253.76983448794,0.67
2016,29,0.882,3586.522543008088,0.696
2017,29,0.899,3929.4854359625047,0.727
2018,29,0.91,4279.8926432376265,0.747
2019,29,0.914,4642.106878799294,0.764
2020,29,0.92,5017.840281156216,0.777
2021,29,0.93,5389.607249459986,0.793
2022,29,0.934,5767.765844559055,0.803
2023,29,0.941,6156.062319040192,0.816
2024,29,0.953,6542.290368543008,0.832
2025,29,0.959,6933.139226097738,0.841
